time,tavg,tmin,tmax,prcp,wspd,pres
2021-12-14,20.8,15.7,26.9,0.5,8.9,1012.2
2021-12-15,20.8,16.1,27.3,0.7,9.5,1012.3
2021-12-16,21.4,16.1,28.6,0.2,8.6,1012.1
2021-12-17,20.3,15.1,27.6,0.2,8.3,1013.3
2021-12-18,20.6,15.1,27.5,0.4,7.1,1013.6
2021-12-19,19.1,15.8,27.0,13.4,7.4,1014.7
2021-12-20,19.9,14.9,26.6,4.3,8.2,1014.8
2021-12-21,19.9,15.2,27.3,6.3,10.1,1014.7
2021-12-22,20.4,15.6,27.8,5.9,9.4,1013.4
2021-12-23,20.3,16.3,28.4,8.2,10.3,1012.8
2021-12-24,20.0,15.9,26.8,4.0,8.4,1012.9
2021-12-25,19.8,15.5,26.6,6.3,7.4,1013.5
2021-12-26,19.4,15.7,26.2,11.6,9.6,1014.3
2021-12-27,20.2,15.5,27.0,3.6,9.2,1013.5
2021-12-28,20.6,15.3,26.4,0.1,7.6,1013.9
2021-12-29,19.8,16.3,26.2,10.2,8.5,1013.9
2021-12-30,19.5,16.3,25.9,4.0,8.7,1013.8
2021-12-31,19.1,15.8,24.4,2.3,6.8,1014.4
2022-01-01,18.8,14.8,25.3,1.6,5.7,1015.5
2022-01-02,20.2,15.3,26.5,0.1,7.1,1013.4
2022-01-03,19.9,14.6,26.0,0.6,5.3,1012.8
2022-01-04,19.7,14.1,28.0,0.1,7.6,1013.7
2022-01-05,19.5,15.1,25.2,0.2,7.9,1014.9
2022-01-06,20.3,14.8,28.0,0.2,8.1,1013.5
2022-01-07,21.1,15.3,27.3,0.0,9.7,1012.6
2022-01-08,22.1,16.0,28.7,0.0,10.2,1012.1
2022-01-09,21.6,15.2,29.3,0.0,8.5,1011.8
2022-01-10,22.0,15.6,30.4,0.0,10.3,1010.7
2022-01-11,22.0,15.4,29.8,0.0,10.1,1010.7
2022-01-12,21.9,14.5,29.7,0.0,12.4,1011.6
2022-01-13,22.2,16.7,30.4,0.0,12.0,1012.0
2022-01-14,21.1,15.2,27.8,0.0,8.3,1013.3
2022-01-15,19.6,16.1,25.2,5.5,4.9,1014.4
2022-01-16,19.1,15.6,26.7,10.5,5.4,1014.0
2022-01-17,17.4,15.7,20.8,24.6,5.0,1016.7
2022-01-18,17.8,13.1,23.4,0.4,9.6,1017.4
2022-01-19,18.1,15.0,24.9,5.8,5.4,1017.1
2022-01-20,19.4,14.2,25.9,0.0,8.3,1014.7
2022-01-21,19.9,15.5,26.5,0.2,8.2,1014.4
2022-01-22,20.0,14.9,26.5,0.0,8.3,1013.8
2022-01-23,19.2,14.7,25.4,0.7,8.8,1014.4
2022-01-24,20.4,15.0,26.9,0.0,9.0,1012.9
2022-01-25,21.4,15.8,28.7,0.0,8.9,1011.2
2022-01-26,21.2,15.6,29.2,0.0,8.6,1010.9
2022-01-27,21.2,15.6,27.5,0.1,7.2,1011.9
2022-01-28,21.1,16.6,26.4,0.3,7.7,1012.8
2022-01-29,21.3,16.7,27.0,0.1,8.5,1012.7
2022-01-30,21.1,16.4,27.4,0.0,9.7,1012.2
2022-01-31,19.4,16.1,23.8,3.4,5.2,1013.8
2022-02-01,19.8,15.8,25.9,3.4,5.4,1013.4
2022-02-02,19.9,15.3,26.5,0.7,7.3,1013.7
2022-02-03,19.9,14.5,25.8,1.3,8.7,1013.9
2022-02-04,20.4,15.3,27.1,0.3,8.0,1013.2
2022-02-05,19.1,15.6,24.2,4.4,8.8,1014.8
2022-02-06,19.9,14.8,26.7,0.5,6.3,1013.8
2022-02-07,18.5,14.8,23.6,1.4,6.9,1015.4
2022-02-08,19.9,15.6,28.2,2.7,9.6,1013.5
2022-02-09,20.9,15.5,27.9,0.0,7.6,1013.0
2022-02-10,20.8,15.4,27.5,0.0,8.6,1012.3
2022-02-11,20.9,15.0,28.3,0.0,9.0,1012.0
2022-02-12,20.0,14.8,26.6,1.3,8.0,1013.0
2022-02-13,20.4,14.4,27.6,0.0,9.0,1011.7
2022-02-14,20.5,16.0,27.4,0.4,8.3,1011.9
2022-02-15,20.3,16.2,26.3,0.1,9.5,1013.4
2022-02-16,20.3,14.6,27.5,0.4,8.1,1012.2
2022-02-17,20.2,16.2,26.0,1.6,9.3,1011.3
2022-02-18,20.4,15.3,26.8,1.6,7.1,1011.7
2022-02-19,20.2,15.6,26.5,12.0,6.1,1012.5
2022-02-20,20.6,16.3,27.7,2.3,7.8,1013.1
2022-02-21,18.9,15.5,24.3,4.4,6.4,1015.1
2022-02-22,19.2,14.3,25.7,4.3,7.2,1013.2
2022-02-23,19.6,15.5,25.3,1.8,8.2,1013.6
2022-02-24,19.5,16.0,26.9,5.9,8.4,1015.2
2022-02-25,20.2,14.7,27.7,1.2,8.2,1014.2
2022-02-26,20.2,15.2,26.9,1.5,7.2,1014.5
2022-02-27,21.5,14.4,29.4,0.0,8.4,1013.0
2022-02-28,21.5,15.4,29.1,0.0,8.2,1011.9
2022-03-01,21.7,16.4,29.1,0.0,6.1,1012.1
2022-03-02,21.4,14.4,29.2,0.0,7.6,1011.6
